name,description,link
F 屋敷林と畑のコース,西東京市,data/132292_F_Homestead_woodland_and_farms_course.kml
G 上保谷コース,西東京市,data/132292_G_Kami-hoya_Course.kml
H 田無と東大農場コース,西東京市,data/132292_H_A_course_touring_Tanashi_and_Farm_of_the_University_of_Tokyo.kml
I 西原と多摩六都科学館コース,西東京市,data/132292_I_A_course_touring_Nishihara_and_Tamarokuto_Science_Center.kml
J 芝久保町のみどりを訪ねるコース,西東京市,data/132292_J_A_course_to_walk_green_fields_in_Shibakubo.kml
K 遺跡と水のコース,西東京市,data/132292_K_Ruins_and_riverside_walk_course.kml
L 坂のある町コース,西東京市,data/132292_L_A_course_touring_a_town_with_sloping_roads.kml
M 向台・緑道コース,西東京市,data/132292_M_Mukodai_and_Green_Road_Pass_Course.kml
N 向台・小金井公園コース,西東京市,data/132292_N_Mukodai_and_Koganei_Park_Course.kml
平井地区Aコース,日の出町,data/133051_Course_A_Hirai_area.kml
平井地区Bコース,日の出町,data/133051_Course_B_Hirai_area.kml
初級　中道・西道コース,利島村,data/133621_Beginner_CentralWest_Road_Course.kml
初級　東道コース,利島村,data/133621_Beginner_East_Road_Course.kml
中級　利島しあわせコース,利島村,data/133621_Intermediate_Toshima_Happiness_Course.kml
中級　利島とっておきコース,利島村,data/133621_Intermediate_Toshima_Special_Course.kml
上級　利島まんきつコース,利島村,data/133621_Advanced_Toshima_Full_Enjoyment_Course.kml
Tokyo健康ウオーク2016 - 7kmコース,※データ利用の際は、著作権者として「東京都・NPO法人ブレイブサークル運営委員会」を記載ください。,data/130001_TOKYO_HEALTH_WALK_2016_7km_Course.kml
Tokyo健康ウオーク2016 - 12kmコース,※データ利用の際は、著作権者として「東京都・NPO法人ブレイブサークル運営委員会」を記載ください。,data/130001_TOKYO_HEALTH_WALK_2016_12km_Course.kml
Tokyo健康ウオーク2017 - 6kmコース,※データ利用の際は、著作権者として「東京都・NPO法人ブレイブサークル運営委員会」を記載ください。,data/130001_TOKYO_HEALTH_WALK_2017_6km_Course.kml
Tokyo健康ウオーク2017 - 12kmコース,※データ利用の際は、著作権者として「東京都・NPO法人ブレイブサークル運営委員会」を記載ください。,data/130001_TOKYO_HEALTH_WALK_2017_12km_Course.kml
お台場しおかぜコース,港区,data/131032_Odaiba_Sea_Breeze_Route.kml
三田、麻布大使館めぐりコース,港区,data/131032_Walking_Tour_of_Embassies_in_Mita_and_Azabu.kml
三田から東京ミッドタウン・檜街公園、赤坂コース(Aコース),港区,data/131032_Mita_-_Tokyo_Midtown-Hinokicho_Park_-_Akasaka_Route(Route_A).kml
東京タワーから有栖川宮記念公園コース,港区,data/131032_Tokyo_Tower_-_Arisugawa-no-miya_Memorial_Park_Route.kml
泉岳寺から白金プラチナコース,港区,data/131032_Sengakuji_temple_-_Shirokane_Platinum_Route.kml
芝公園一周コース,港区,data/131032_Shiba_Park_Circuit_Route.kml
芝浦ウォーターフロントコース,港区,data/131032_Shibaura_Waterfront_Route.kml
赤坂御用地一周と青山霊園、六本木コース,港区,data/131032_Akasaka_Imperial_GroundsAoyama_Reien_and_Roppongi_Route.kml
アカデミックなまちで昭和レトロと自然を堪能,新宿区,data/131041_An_academic_part_of_town_to_satisfy_your_Showa_retro_and_nature_needs.kml
伝説の地から大都会のオアシスへ,新宿区,data/131041_From_a_land_of_tradition_to_a_vast_urban_oasis.kml
哲学堂公園から落合文士村をめぐる,新宿区,data/131041_Taking_in_Ochiai_Bunshimura_(literary_village)_from_Tetsugakudo_park.kml
四季折々に美しい神田川沿いの遊歩道を歩く,新宿区,data/131041_Walk_along_the_Kanda-gawa_River_promenades_through_the_beautiful_seasonally_changing_scenery.kml
山手線内最高峰と漱石山房記念館をめぐる,新宿区,data/131041_Taking_in_the_Natsume_Soseki_Memorial_Museum_and_the_highest_summit_within_the_Yamanote_Line.kml
新宿シティハーフマラソンコースをたどりスポーツの杜へ,新宿区,data/131041_Follow_the_Shinjuku_City_Half_Marathon_course_to_a_recreation_forest.kml
新宿御苑から新宿の発祥内藤新宿をめぐる,新宿区,data/131041_Starting_from_Shinjuku_Gyoen_and_taking_in_Naito-Shinjuku_the_cradle_of_Shinjuku.kml
粋なまち’神楽坂'を満喫,新宿区,data/131041_Get_your_fill_of_the_hip_streets_of_Kagurazaka.kml
自然豊かで芸術の香りが漂う落合を訪ねる,新宿区,data/131041_Visit_Ochiai_where_the_scent_of_abundant_nature_and_art_are_in_the_air.kml
西新宿で大人な街あるき,新宿区,data/131041_Walking_the_sophisticates_town_of_Nishi-Shinjuku.kml
見どころ満載の四谷で、歴史探索,新宿区,data/131041_Historical_exploration_of_the_plentiful_highlights_of_Yotsuya.kml
鉄炮組百人隊ゆかりの地から新たな歌舞伎町へ,新宿区,data/131041_From_a_place_associated_with_the_Teppo-gumi_Hyakunintai_(100-member_gun_squad)_to_the_all-new_Kabukicho.kml
Aコース（隅田公園）,台東区,data/131067_Course_A_(Sumida_Park).kml
Bコース（竹町地区健康推進委員おすすめ）,台東区,data/131067_Course_B_(Takecho_Area_Health_Promotion_Committee_Recommendation).kml
Cコース（東上野地区健康推進委員おすすめ）,台東区,data/131067_Course_C_(Higashi_Ueno_Area_Health_Promotion_Committee_Recommendation).kml
Dコース（上野地区健康推進委員おすすめ）,台東区,data/131067_Course_D_(Ueno_Area_Health_Promotion_Committee_Recommendation).kml
Eコース（入谷地区健康推進委員おすすめ）,台東区,data/131067_Course_E_(Iriya_Area_Health_Promotion_Committee_Recommendation).kml
Fコース（金杉地区健康推進委員おすすめ）,台東区,data/131067_Course_F_(Kanasugi_Area_Health_Promotion_Committee_Recommendation).kml
Gコース（浅草橋地区健康推進委員おすすめ）,台東区,data/131067_Course_G_(Asakusabashi_Area_Health_Promotion_Committee_Recommendation).kml
Hコース（寿地区健康推進委員おすすめ） - 吉原仲之町通りルート,台東区,data/131067_Course_H_(Kotobuki_Area_Health_Promotion_Committee_Recommendation)_-Yoshiwara_Nakanocho-dori_AveRoute.kml
Iコース（雷門地区健康推進委員おすすめ）,台東区,data/131067_Course_I_(Kaminarimon_Area_Health_Promotion_Committee_Recommendation).kml
Jコース（馬道地区健康推進委員おすすめ） - 吉原仲之町通りルート,台東区,data/131067_Course_J_(Umamichi_Area_Health_Promotion_Committee_Recommendation)_-_Yoshiwara_Nakanocho-dori_AveRoute.kml
Kコース（清川地区健康推進委員おすすめ）,台東区,data/131067_Course_K_(Kiyokawa_Area_Health_Promotion_Committee_Recommendation).kml
Lコース（上野・浅草コース）,台東区,data/131067_Course_L_(Ueno_and_Asakusa_Course).kml
Mコース（1万歩コース）,台東区,data/131067_Course_M_(10000_Steps_Course).kml
橋めぐりコース（白鬚橋～左衛門橋）,台東区,data/131067_Bridge_Tour_Course_(Shirahige-bashi_Bridge_-_Saemon-bashi_Bridge).kml
おいしい野菜とウォーキング　心も体も大満足な野菜コース,墨田区,data/131075_Delicious_vegetables_and_walking__Vegetable_walking_course_to_satisfy_your_mind_and_body.kml
すみだの自然を再発見! 爽快リバービューコース,墨田区,data/131075_Rediscover_nature_in_Sumida_A_refreshing_river_view_course.kml
すみだの魅力が凝縮! 江戸の粋に出会えるコース,墨田区,data/131075_Condenses_Sumidas_great_points_down_A_course_to_see_the_essence_of_Edo.kml
南北縦断！のんびり寺社めぐりコース,墨田区,data/131075_From_the_south_to_the_north_A_course_leisurely_touring_temples_and_shrines.kml
名物の甘味でひと休みもOK すみだの名刹をめぐるコース,墨田区,data/131075_You_can_take_a_short_break_over_the_specialty_sweets._A_course_touring_Sumidas_famous_temples.kml
向島を愛した文人たちの足跡を訪ねる文学散歩コース,墨田区,data/131075_Literary_walking_course_tracing_the_footprints_of_writers__who_loved_Mukojima.kml
東部のおだやかな自然と歴史ある寺社をめぐるコース,墨田区,data/131075_A_course_touring_the_eastern_regions_quiet_nature_and_historical_temples.kml
